,AAC_XGBoost,AAC_RF,AAC_ET,AAC_SVM,AAC_MLP,AAC_GBDT,AAC_AB,PAAC_XGBoost,PAAC_RF,PAAC_ET,PAAC_SVM,PAAC_MLP,PAAC_GBDT,PAAC_AB,CKSAAGP_XGBoost,CKSAAGP_RF,CKSAAGP_ET,CKSAAGP_SVM,CKSAAGP_MLP,CKSAAGP_GBDT,CKSAAGP_AB,DPC_XGBoost,DPC_RF,DPC_ET,DPC_SVM,DPC_MLP,DPC_GBDT,DPC_AB,GTPC_XGBoost,GTPC_RF,GTPC_ET,GTPC_SVM,GTPC_MLP,GTPC_GBDT,GTPC_AB,QSO_XGBoost,QSO_RF,QSO_ET,QSO_SVM,QSO_MLP,QSO_GBDT,QSO_AB,ASDC_XGBoost,ASDC_RF,ASDC_ET,ASDC_SVM,ASDC_MLP,ASDC_GBDT,ASDC_AB,CTD_XGBoost,CTD_RF,CTD_ET,CTD_SVM,CTD_MLP,CTD_GBDT,CTD_AB,All_data_XGBoost,All_data_RF,All_data_ET,All_data_SVM,All_data_MLP,All_data_GBDT,All_data_AB
ACC,0.951523366238726,0.9456771179649804,0.9509385709170886,0.9345830562801561,0.9375002131178286,0.945092322643343,0.927570627248393,0.9480094794810154,0.9451008473564864,0.9497723901590712,0.9451008473564864,0.9433413465636882,0.9380833034968372,0.9345762365096414,0.9468501184935126,0.9439295517705828,0.9474315039298927,0.943929551770583,0.9287436277769252,0.9433498712768316,0.9322506947641213,0.9538591376400184,0.9474366187577787,0.9532692274904949,0.9486010945731674,0.942178575690928,0.9474366187577787,0.9439261418853256,0.9515199563534686,0.9462670281145039,0.949767275331185,0.9445143470922203,0.9380901232673521,0.9474349138151501,0.9304877840860655,0.9521047516751061,0.9462670281145039,0.9503537755954511,0.9392580089679983,0.9363374422450684,0.9439312567132117,0.9386680988184747,0.9480180041941588,0.9456839377354951,0.9503537755954511,0.940427599611273,0.9357577617513171,0.943929551770583,0.9369273523945919,0.9491875948374338,0.9456839377354951,0.9474366187577787,0.9269892418120131,0.9445143470922203,0.9427667808978228,0.9334168755221388,0.9532726373757523,0.948604504458425,0.9509385709170886,0.9269892418120131,0.9538591376400184,0.94685352837877,0.9398376894617495
F1,0.5306772506772507,0.3981286360698125,0.49863631645889706,0.18439518336070063,0.4490507275941792,0.4097969447078106,0.3584934243924601,0.49519138755980857,0.39586879913255624,0.4834510194661997,0.38328772121875565,0.4116524297640571,0.3998995792649044,0.38622854269913093,0.44286048826181135,0.38024597652681147,0.43897690724066435,0.37475444096133753,0.07282051282051283,0.4310418561244683,0.3938095238095238,0.5678645678645678,0.4420276497695853,0.5292626728110599,0.45563070389446103,0.5099691884086595,0.47965707124664225,0.49286865813181596,0.5290212226797593,0.4231435488544695,0.4784115195700136,0.38402360317167616,0.27383004926108373,0.4643564405234234,0.4125702361842912,0.5379504705820495,0.4207843137254902,0.48936212291050996,0.2806878306878307,0.23401074680273792,0.4119933983782705,0.38831442375085645,0.47192560782094384,0.40625610948191593,0.4877297013881954,0.3090322580645162,0.27215888023730067,0.4283269671504966,0.44251605310428843,0.48607613765109015,0.4073196175021733,0.43894909688013134,0.0,0.3810431758910461,0.4037691001697793,0.34066271795468356,0.5435811247575953,0.45399091894822446,0.49740712074303406,0.0,0.6061832476466623,0.45479588511846575,0.48499561673474717
F2,0.42652537618474745,0.29602252045332683,0.38673567844094137,0.12499806321798232,0.38416042364026,0.3123070146127413,0.3068057347331674,0.40729527353578715,0.2987660430677531,0.37752264276059344,0.2888638641297227,0.3213596346635451,0.3239179402972507,0.32003511240799376,0.34021147945026636,0.2802903271400303,0.3324381045142774,0.273892603454131,0.05009746588693957,0.3384887481013352,0.3398457233823088,0.46635852634430447,0.3351375669208984,0.4174226919721975,0.3442882794287555,0.44932178651343746,0.3866589853071402,0.4134028729915221,0.4245920932953455,0.3172822460830522,0.3679874564541455,0.28225811181963945,0.19307570356226295,0.3598949983219274,0.36285936285936293,0.4335170391247507,0.3169435770054966,0.37762676754985225,0.20046414067032625,0.16588067366861484,0.3207278361044097,0.3089876583885592,0.36647914233240125,0.30198669257492783,0.3778716881205554,0.22098096495869896,0.20180542519083713,0.3324485534467315,0.37866214286540656,0.3838363890490125,0.3070554573915988,0.3337779898762,0.0,0.28126444719905497,0.31262373675202515,0.2712895551450539,0.43516794424812383,0.34487858906356783,0.3868335999950886,0.0,0.52870346289785,0.3507985872727373,0.4224211914779937
GMean,0.6107530838473947,0.49691812446246997,0.5784045204969653,0.31426665665654197,0.5863679309868658,0.5124813975248221,0.5186461955412707,0.5947854202263022,0.4942421214909345,0.5688959997504325,0.47671337288450744,0.5200475529153332,0.5270445621327988,0.5258548040042321,0.5389951166547269,0.4856626990253249,0.5321186989993854,0.4794341393289595,0.12752627031038616,0.5404716678280271,0.5459102470525826,0.6432299801478274,0.5340939646752227,0.6025033900299455,0.543034414457947,0.6379080043982258,0.577339408803329,0.6064061749234552,0.6107642641092543,0.5195738865779547,0.5629461232000382,0.48659927424145116,0.3983402999773896,0.5574126100728289,0.571632139170531,0.6174521635996999,0.5172058857879712,0.5712494369866382,0.3953381705364275,0.3506279145712914,0.5188578642490211,0.5150059240834839,0.5635201967234206,0.5039498276442996,0.5700213027113071,0.4241321043079601,0.3914024877790402,0.5355560569956429,0.5787396930858891,0.5752390817683276,0.5051206016844991,0.5312209082813368,0.0,0.4830671813627988,0.512319772097779,0.4783719744820032,0.6179516643291809,0.541424170692904,0.577479011575768,0.0,0.6944760427703901,0.5498168651220494,0.6174567244944087
SEN,0.37734113712374584,0.25301003344481604,0.3365942028985507,0.10292642140468226,0.350613154960981,0.27003901895206245,0.28010033444816057,0.3653567447045708,0.25702341137123746,0.3299052396878484,0.2483277591973244,0.2807413600891862,0.28779264214046824,0.28743032329988855,0.29512263099219627,0.23862876254180598,0.2864269788182832,0.2323021181716834,0.04147157190635452,0.29676700111482723,0.3124303232998885,0.4168060200668896,0.2887959866220736,0.36636008918617613,0.2961259754738016,0.4168060200668896,0.3431995540691193,0.37405239687848385,0.3756967670011148,0.27204570791527316,0.31920289855072465,0.23999442586399108,0.16142697881828316,0.31315496098104795,0.336231884057971,0.3840301003344481,0.27240802675585285,0.32789855072463764,0.16847826086956522,0.13899108138238572,0.28010033444816057,0.27240802675585285,0.31920289855072465,0.2580267558528428,0.328901895206243,0.18578595317725752,0.17249163879598664,0.28943701226309926,0.3462095875139353,0.3372352285395763,0.26399108138238575,0.28807134894091413,0.0,0.2396321070234114,0.27204570791527316,0.2392697881828317,0.38439241917502787,0.2974916387959866,0.3372352285395764,0.0,0.48768115942028983,0.3044593088071349,0.38971571906354513
PREC,0.9038073038073039,1.0,0.9818181818181818,1.0,0.6299612152553329,0.9183333333333333,0.503118058412176,0.8138888888888889,0.975,0.9636363636363636,1.0,0.8604545454545456,0.6730769230769231,0.6001831501831502,0.9466666666666667,0.975,0.9818181818181818,1.0,0.75,0.8505555555555556,0.5780701754385965,0.8952214452214452,0.9777777777777779,0.9857142857142858,1.0,0.6658150183150183,0.8513419913419913,0.745119208277103,0.9199999999999999,0.9777777777777779,0.9833333333333332,1.0,0.9666666666666668,0.9168831168831169,0.5402786755727933,0.9090598290598291,0.9800000000000001,0.9818181818181818,1.0,0.9,0.8889110889110888,0.7239860139860139,0.9266666666666665,1.0,0.9833333333333332,1.0,0.7300000000000001,0.8397619047619047,0.6399572649572649,0.9328671328671329,0.9666666666666666,0.9800000000000001,,1.0,0.8214285714285714,0.6164069264069264,0.9464335664335664,1.0,0.9833333333333332,,0.8120959595959597,0.9064285714285714,0.6595104895104895
SPEC,0.9968414327356946,1.0,0.9993690851735015,1.0,0.9836258623397484,0.9981131951082427,0.9785645803234327,0.9936947572038832,0.9993730407523511,0.9987421259258527,1.0,0.9955875141223057,0.989288211032018,0.9855106331126354,0.9981052589545982,0.9993690851735015,0.9993690851735015,1.0,0.9987381703470032,0.9943257095833454,0.9810962133360347,0.9962224346376358,0.9993690851735015,0.9993690851735015,1.0,0.9836179261861038,0.9949546528398827,0.9886553996233948,0.9968473848804507,0.9993690851735015,0.9993690851735015,1.0,0.999367088607595,0.9974822927206712,0.977322553560629,0.9968453883145442,0.9993690851735015,0.9993690851735015,1.0,0.9993690851735015,0.9962125019180845,0.9911769999326637,0.9974763406940064,1.0,0.9993690851735015,1.0,0.9962164824928795,0.9955934788240801,0.9835980607470015,0.9974842518517054,0.9993730407523511,0.9993690851735015,1.0,1.0,0.9955855552274538,0.9880124930806204,0.9981112110993543,1.0,0.9993690851735015,1.0,0.9905500907949968,0.9974802962728558,0.9830009246539516
MCC,0.5651908397204739,0.48308052749646013,0.5577236030623602,0.3037521414891319,0.4398250682563405,0.47550191183918467,0.33988283526430163,0.5194482563669581,0.4731383677951575,0.5419611628309614,0.46384280163925784,0.46161519485561,0.412382083670606,0.38481638684673225,0.5066087742239745,0.46448113077866626,0.511665771052766,0.46565493342743813,0.1048866407731246,0.47569427537573183,0.38629077360041686,0.5923956682012836,0.5129772765478904,0.5826979596608184,0.5286319651177123,0.4974873218916883,0.5147366611591109,0.5004105074129803,0.5676521197512454,0.4984698400545559,0.5425909215260996,0.47277509110705845,0.37748712303636556,0.5168253277294261,0.3909153444784129,0.5719955007121913,0.4966442795001793,0.5505475866409152,0.38332981648977993,0.3266458190736352,0.46842756745837705,0.4147948197375477,0.5246327012850945,0.49000451826421054,0.5497573213896285,0.4113595861284939,0.32968159126681534,0.4720131793569271,0.43762059207800696,0.5370839412914352,0.4825622276507839,0.5106123276054937,0.0,0.46943667997532207,0.44950270393843317,0.3541741905880948,0.5848407482611224,0.5272177514208115,0.5571916316745453,0.0,0.6063956885784045,0.5071701293965898,0.4756007389391483
AUC,0.8889541194836073,0.9017613322758251,0.9197306218622703,0.80892690961723,0.8403106113136477,0.8870390468888669,0.8100419570500812,0.846790966184227,0.864038953058991,0.8921041552886482,0.8257149195027349,0.8331652999059134,0.8274246309271047,0.7913678817236663,0.8998341450644783,0.8925155133988625,0.9069165713934778,0.8159047256676187,0.7759078002559912,0.8713586446726568,0.8256297300484906,0.8687998917098614,0.9050089397216959,0.9254418846755824,0.8324264830000118,0.8412585809056665,0.8619491074582231,0.7985438844905465,0.8725592056292266,0.8955518452444572,0.886564419291551,0.8002715309886345,0.7761264449069414,0.8362917491331785,0.8129573811902222,0.8663035563811761,0.8642334768108739,0.9147986290797558,0.8113323355292629,0.7996183040461482,0.8307570038067557,0.7876454232935368,0.8629256530399863,0.8845638458245701,0.8940997317148989,0.7886118030901645,0.8115291217125167,0.8641205529918439,0.807591606040069,0.8441432353222256,0.8559975776316906,0.8790412312656345,0.813729264774435,0.7981523676029956,0.8343555007880074,0.7985085727555522,0.895393661564982,0.8938413735535862,0.9280962278858492,0.8110149336863867,0.8696028095904982,0.8783400578999458,0.8348889483869376
