,ACC,F1,F2,GMean,SEN,PREC,SPEC,MCC,AUC
7_CTD_XGBoost,0.777478084962913,0.36538461538461536,0.5900621118012422,0.873068060701292,1.0,0.2235294117647059,0.7622478386167147,0.41277695064636627,0.9887380555134233
5_CTD_XGBoost,0.75118004045853,0.33989266547406083,0.5627962085308057,0.8568254524159404,1.0,0.20474137931034483,0.734149855907781,0.38769943786269534,0.9871606249052024
0_CTD_XGBoost,0.7902899527983817,0.37924151696606784,0.6043256997455472,0.8808726351883291,1.0,0.23399014778325122,0.7759365994236311,0.42610036325913736,0.986656302138632
7_QSO_XGBoost,0.7707349966284558,0.3584905660377358,0.5828220858895706,0.868932234219508,1.0,0.21839080459770116,0.7550432276657061,0.40607203547641496,0.9841650235097831
13_PAAC_XGBoost,0.7950101146325017,0.3846153846153846,0.6097560975609756,0.8837306303899041,1.0,0.23809523809523808,0.7809798270893372,0.4312163933321803,0.9850978310329137
9_QSO_XGBoost,0.7943358057990559,0.3838383838383838,0.608974358974359,0.8833229115075847,1.0,0.2375,0.7802593659942363,0.4304783379261158,0.9809419080843319
9_CTD_XGBoost,0.7592717464598786,0.34734917733089576,0.5709134615384616,0.8618557820476644,1.0,0.21017699115044247,0.7427953890489913,0.39511833659138035,0.9788108600030334
7_PAAC_XGBoost,0.7693863789615644,0.3571428571428571,0.5813953488372093,0.8681027044512097,1.0,0.21739130434782608,0.7536023054755043,0.40475497297358654,0.9766039739117246
